"No","Type","File","SizeBytes","Status","Source","Url","Note","Error"
"1","PDF","01_职业标准_印制电路制作工国家职业技能标准2019_OSTA.pdf","842429","OK","技能人才评价工作网/OSTA","https://www.osta.org.cn/api/sys/downloadFile/decrypt?fileName=4eNsZIOv3WFNDfbnldJHeA%2F2024%2F4%2F29%2F7560172098e14c859cb6c8d71446dacd.pdf","官方职业技能标准，竞赛命题和评价的重要基础",""
"2","PDF","02_国家标准_GBT4588-2025_单双面刚性印制板分规范_20260701实施.pdf","2432709","OK","国家标准全文公开系统","https://openstd.samr.gov.cn/bzgk/std/showGb?type=download&hcno=339E3A8037312FBF0CF65D64E6BFC230&request_locale=zh","2025-12-02发布，2026-07-01实施，替代GB/T 4588.1/4588.2",""
"3","PDF","03_团体标准_TCPCA6043A-2023_单双面碳膜印制电路板.pdf","1788064","OK","企信宝标准缓存","https://qxb-img-osscache.qixin.com/standards/caeaf1d97713570697856b97543484af.pdf","临安竞赛碳膜板方向相关标准文件",""
"4","DOC","04_江西振兴杯2022_印制电路制作工大赛报名相关附件.doc","58880","OK","吉安市人力资源和社会保障局","https://hrss.jian.gov.cn/uploadfile/52/Attachment/71d0559983.doc","2022江西省振兴杯电子信息行业印制电路制作工职业技能大赛报名附件",""
"5","DOC","05_深圳2013_印制电路制作工技能竞赛计划附件.doc","44032","OK","深圳市人力资源和社会保障局","https://hrss.sz.gov.cn/attachment/0/617/617732/2023930.doc","2013年深圳市职业技能竞赛计划附件，含印制电路制作工项目",""
"6","HTML","06_临安2024_印制电路制作工竞赛报道与命题依据.html","38580","OK","临安新闻网","https://www.lanews.com.cn/content/2024-11/06/content_9742248.html","2024临安竞赛报道，列出等级要求、GB/T 4588.1、T/CPCA6043等命题依据",""
"7","HTML","07_CPCA2023_标准宣贯及竞赛知识培训_含临安竞赛规程信息.html","30201","OK","中国电子电路行业协会CPCA","https://www.cpca.org.cn/standard/show-5456.html","含2023临安区印制电路制作工竞赛内容、评分、报名条件等公开规程信息",""
"8","HTML","08_CPCA2023年度工作报告_含临安竞赛结果.html","60432","OK","中国电子电路行业协会CPCA","https://www.cpca.org.cn/about-395.html","含临安区印制电路制作工竞赛举办与成绩相关信息",""
"9","HTML","09_CPCA2018_印制电路行业培训活动.html","21530","OK","中国电子电路行业协会CPCA","https://www.cpca.org.cn/talent/show-916.html","印制电路行业培训活动线索",""
"10","HTML","10_CPCA2023_TCPCA6043A发布标准页.html","18713","OK","中国电子电路行业协会CPCA","https://www.cpca.org.cn/standard/show-5450.html","T/CPCA 6043A-2023标准发布/宣贯相关页面",""
"11","HTML","11_吉安人社2022_振兴杯报名附件页面.html","11543","OK","吉安市人力资源和社会保障局","https://hrss.jian.gov.cn/news-show-15471.html","2022江西省振兴杯大赛报名附件原页面",""
"12","HTML","12_深圳人社2013_竞赛公告页面.html","27964","OK","深圳市人力资源和社会保障局","https://hrss.sz.gov.cn/ztfw/zyjnjd/jnjdgg/content/post_2023930.html","2013深圳印制电路制作工技能竞赛公告",""
"13","HTML","13_人人文库_印制电路制作工岗前评优竞赛考核试卷含答案_预览页.html","46122","OK","人人文库","https://www.renrendoc.com/paper/522131483.html","公开预览页；原DOCX为积分/付费下载，未绕过下载限制",""
"14","HTML","14_国家标准信息_GBT4588-2025详情页.html","24170","OK","国家标准全文公开系统","https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=339E3A8037312FBF0CF65D64E6BFC230","GB/T 4588-2025官方详情页",""
"15","HTML","15_SAMR行业标准_SJT11171-2016_单双面碳膜印制板分规范详情.html","62757","OK","全国标准信息公共服务平台","https://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F21043BB19E05397BE0A0AB44A","现行SJ/T 11171-2016行业标准详情页，未见公开全文下载按钮",""
"16","HTML","16_标准网_SJT11171-1998_无金属化孔单双面碳膜印制板规范详情.html","10814","OK","标准网","https://www.biaozhun.org/hangye/61464.html","旧版SJ/T 11171-1998详情页，页面提供下载入口但需站点流程",""
"17","HTML","17_规范网_GBT4588.1-1996详情页_直链下载需登录.html","7216","OK","规范网","https://www.guifan.net/biaozhun/guojia/20138.html","GB/T 4588.1-1996详情页；下载需登录",""
"18","HTML","18_标准网_GBT4588.2-1996详情页.html","11369","OK","标准网","https://www.biaozhun.org/guojia/48105.html","GB/T 4588.2-1996详情页",""
"19","HTML","19_江苏工匠课堂_印制电路制作工课程入口.html","7076","OK","江苏工匠课堂","https://course.jsgjkt.com/lesson/2981","印制电路制作工培训课程入口，动态页面",""
