缺陷记录表（参考答案·模块C）
【黄色底纹为参考答案，共12处缺陷】
备注：
说明：以下为参考答案示例，供命题/裁判使用；正式评分细则以技术工作文件及评分表为准。
--- TABLE 1 ---
序号 | 所在层 | 缺陷类型 | 位置/描述 | 违反工艺参数
1 | 顶层线路层 | 最小线宽不足 | U1芯片BGA下方第5根信号走线，实测线宽约0.08mm，小于厂内最小线宽0.10mm的要求 | 违反：线路最小线宽 0.10mm
2 | 顶层线路层 | 最小线距不足 | J1连接器引脚附近，两根高速信号走线间距约0.08mm，小于最小线距0.10mm要求 | 违反：线路最小线距 0.10mm
3 | 底层线路层 | 走线开路/缺口 | 电源走线（+3.3V）在靠近U2芯片第12脚处有缺口，线路不连续 | 开路属于致命缺陷，必须修复
4 | 顶层线路层 | 走线短路 | D5二极管阴极附近，两条相邻走线发生桥接短路（GND与SIG相连） | 短路属于致命缺陷，必须修复
5 | 钻孔层+焊盘 | 焊环不足（孔破盘） | 过孔Via23偏出焊盘，单侧焊环仅约0.08mm，小于极限值0.18mm | 违反：有铜插件孔焊环极限值 0.18mm
6 | 钻孔层 | 过孔焊盘过小 | 过孔Via17焊盘外径仅0.2mm，小于最小过孔焊盘0.25mm要求 | 违反：最小过孔焊盘外径 0.25mm
7 | 钻孔层 | 孔间距过小 | U3芯片下方两个过孔（Via45与Via46）孔边距约0.15mm，小于最小0.2mm | 违反：过孔孔边到孔边最小间隙 0.2mm
8 | 顶层阻焊层 | 阻焊覆盖焊盘（应开窗未开） | 电阻R12（0603封装）焊盘被阻焊层覆盖，无开窗，无法焊接 | 违反：焊盘需开窗才能焊接
9 | 顶层阻焊层 | 阻焊桥缺失/不足 | QFP芯片U1引脚间焊盘间距约0.08mm，无法形成有效阻焊桥，易焊接短路 | 违反：最小阻焊桥宽要求焊盘间距 ≥ 0.10mm
10 | 顶层丝印层 | 丝印上焊盘 | 电容C15的位号字符"C15"压在焊盘上，影响焊接 | 违反：字符到露铜焊盘间距 ≥ 0.15mm
11 | 顶层丝印层 | 字符尺寸过小 | 元件FB3的位号字符高度约0.7mm，小于最小字符高度1.0mm要求，可能印不清晰 | 违反：字符最小高度 ≥ 1.0mm
12 | 文件完整性 | 缺少底层丝印层文件 | Gerber文件包中缺少底层丝印层文件（.GBO / .GBS） | 文件不完整，无法正常生产
